Key,Id,English(en),Japanese(ja),Russian(ru),Spanish(es),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),German(de),French(fr),Kazakh(kk),Korean(ko),Polish(pl),Turkish(tr),Ukrainian(uk)
"RANDOM_AVATAR",78900503145127936,"Start With Random Avatar","ランダムアバターで起動","Запустить со случайным аватаром","Iniciar con un avatar aleatorio","以随机角色启动","以隨機模型啟動","Mit zufälligem Avatar starten","Démarrer avec un avatar aléatoire","Кездейсоқ аватармен бастау","랜덤한 아바타로 시작","Start z losowym awatarem","Rastgele Avatarla Başlat","Починати з випадковим аватаром"
"MC_INF",78942061286432768,"Enabling the Minecraft Integration feature allows the avatar to react to your gameplay through events such as kills, sleeping, day and night cycles, deaths, biome discoveries, mob detections, weather changes, low health, and more. Make sure you have the mod installed to use this feature.","Minecraft連携機能を有効にすると、アバターがあなたのゲームプレイに反応します。キル、睡眠、昼夜の切り替え、死亡、バイオームの発見、モブの検知、天候の変化、体力の低下などのイベントに対応します。この機能を使用するには、Modがインストールされていることを確認してください。","Включение функции Интеграции с Minecraft позволяет аватару реагировать на твою игру через события, такие как убийства, сон, смена дня и ночи, смерти, открытие биомов, обнаружение мобов, изменение погоды, низкий уровень здоровья и многое другое. Убедитесь, что мод установлен, чтобы использовать эту функцию.","Activar la función de integración de Minecraft permite que el avatar reaccione a tu partida mediante eventos como bajas, dormir, ciclos de día y noche, muertes, descubrimiento de biomas, detección de mobs, cambios de clima, poca salud y más. Asegúrate de tener el mod instalado para usar esta función.","启用 Minecraft 联动功能将允许角色对你的游戏过程做出反应，例如击杀、睡觉、日夜循环、死亡、发现新生物群系、侦测生物、天气变化、低生命值等事件。为了使用这一功能，请确保你已经安装了对应模组。","啟用 麥塊(Minecraft) 聯動功能將允許角色對你的遊戲過程作出反應，例如擊殺、睡覺、日夜循環、死亡、發現新生物群系、偵測生物、天氣變化、低生命值等事件。為了使用此功能，請確保你已經安裝了對應模組。","Wenn du die Minecraft-Integrationsfunktion aktivierst, kann der Avatar auf dein Gameplay reagieren – bei Ereignissen wie Kills, Schlafen, Tag- und Nachtwechsel, Toden, Biomentdeckungen, Monstervorkommen, Wetteränderungen, niedrigem Gesundheitszustand und mehr. Stelle sicher, dass du die Mod installiert hast, um dieses Feature nutzen zu können.","Activer l'Intégration Minecraft permet à l'avatar de réagir aux événements tels que tuer, dormir, les cycles jour-nuit, les morts, la découverte de biomes, la détection de créatures, les changements météos, une vie basse, et plus. Vérifiez que vous avez le mod installé pour cette fonction.","Minecraft интеграциясын іске қосу аватарға ойын ішіндегі өлтіру, ұйықтау, күн-түн ауысуы, өлім, биомдар табу, мобтарды анықтау, ауа райының өзгеруі, денсаулықтың төмендеуі сияқты оқиғаларға реакция беруге мүмкіндік береді. Бұл мүмкіндікті пайдалану үшін модтың орнатылғанына көз жеткізіңіз.","마인크래프트 연동 기능이 활성화되었을 때, 몬스터를 발견하거나, 죽이거나, 낮/밤이 바뀌거나, 새로운 지형을 발견하거나, 사망/날씨변화/취침/낮은 체력 등 다양한 이벤트에서 아바타가 반응을 합니다. 이 기능을 사용하려면 마인크래프트 모드가 설치되어 있는지 확인하세요.","Włączenie integracji z Minecraftem pozwala awatarowi na reagowanie na wydarzenia w twojej rozgrywce, takich jak pokonywanie przeciwników, spanie, cykl dnia i nocy, śmierci, odkrywanie biome'ów, wykrywanie mobów, zmiany pogodowe, niskiego poziomu zdrowia i więcej. Upewnij się, że masz zainstalowanego moda, aby korzystać z tej funkcji.","Minecraft Entegrasyonu özelliğini etkinleştirmek, avatarın oynayışınıza çeşitli olaylar aracılığıyla tepki vermesini sağlar. Bunlara öldürmeler, uyuma, gece ve gündüz döngüleri, ölümler, biyom keşifleri, yaratık tespitleri, hava değişimleri, düşük sağlık durumu ve daha fazlası dahildir. Bu özelliği kullanabilmek için modu kurduğunuzdan emin olun.","Увімкнення функції інтеграції Minecraft дозволяє аватару реагувати на вашу гру через події, такі як вбивства, сон, зміна дня й ночі, смерті, відкриття біомів, виявлення мобів, зміна погоди, низький рівень здоров’я та інше. Переконайтеся, що мод встановлений, щоб використовувати цю функцію."
"MC_INT",78942197488066560,"Minecraft Integration","Minecraft連携","Интеграция с Minecraft","Integración de Minecraft","Minecraft 联动","麥塊(Minecraft) 聯動","Minecraft Integration","Intégration Minecraft ","Minecraft интеграциясы","마인크래프트 연동","Integracja z Minecraftem","Minecraft Entegrasyonu","Інтеграція Minecraft"
"MC_MSG",78942349086990336,"Minecraft Messages","Minecraftメッセージ","Сообщения Minecraft","Mensajes de Minecraft","Minecraft 对话","麥塊(Minecraft) 聯動語言","Minecraft Nachrichten","Messages Minecraft ","Minecraft хабарламалары","마인크래프트 메세지","Wiadomości z Minecrafta","Minecraft Mesajları","Повідомлення Minecraft"
"MC_LOCK",78942769763098624,"Minecraft Integration is a Steam-only feature. It allows the avatar to speak during specific events, such as discovering new biomes or when a monster appears behind you. She reacts to your gameplay and comments on what you do. Support MateEngine on Steam to unlock this feature.","Minecraft連携はSteam限定の機能です。新しいバイオームを発見したときや、モンスターが後ろに現れたときなど、特定のイベント中にアバターが話すことができます。アバターはあなたのゲームプレイに反応し、行動にコメントします。この機能を利用するには、SteamでMateEngineをサポートしてください。","Интеграция с Minecraft — это функция, доступная только в Steam. Она позволяет аватару говорить во время определенных событий, таких как открытие новых биомов или появление монстра позади вас. Она реагирует на твою игру и комментирует твои действия. Поддержи MateEngine в Steam, чтобы разблокировать эту функцию.","La integración de Minecraft es una función exclusiva de Steam. Permite que el avatar hable durante eventos específicos, como descubrir nuevos biomas o cuando un monstruo aparece detrás de ti. Ella reacciona a tu jugabilidad y comenta lo que haces. Apoya MateEngine en Steam para desbloquear esta función.","Minecraft 联动为 Steam 版独占功能。它允许角色在特定事件中说话，例如当发现新的生物群系，或是有怪物出现在你身后时。角色会对你的游戏过程作出反应，并评论你的行动。在 Steam 上支持 MateEngine 即可解锁此功能。","麥塊(Minecraft) 聯動是 Steam 獨佔功能。它讓虛擬角色能在特定事件時說話，例如發現新生態系或有怪物出現在你身後時。她會根據你的遊戲內容做出反應，並對你的行為發表評論。請在 Steam 上支持 MateEngine 以解鎖此功能。","Die Minecraft-Integration ist ein exklusives Feature der Steam-Version. Sie ermöglicht es dem Avatar, bei bestimmten Ereignissen zu sprechen – zum Beispiel, wenn du neue Biome entdeckst oder ein Monster hinter dir auftaucht. Sie reagiert auf dein Gameplay und kommentiert, was du tust. Unterstütze MateEngine auf Steam, um dieses Feature freizuschalten.","L'intégration Minecraft est une fonction unique à Steam. Elle permet à l'avatar de parler durant certains événements, comme découvrir de nouveaux biomes ou quand un monstre apparaît derrière vous. Elle réagit à votre gameplay et commente ce que vous faites. Supportez MateEngine sur Steam pour débloquer cette fonction.","Minecraft интеграциясы — тек Steam нұсқасына арналған мүмкіндік. Ол аватарға белгілі оқиғалар кезінде сөйлеуге мүмкіндік береді, мысалы жаңа биом табу немесе монстрдың артта пайда болуы. Ол сіздің ойныңызға реакция жасап, әрекеттеріңізді түсіндіреді. Бұл мүмкіндікті ашу үшін MateEngine-ді Steam арқылы қолдаңыз.","마인크래프트 연동 기능은 Steam 전용 기능입니다. 새로운 생물군계를 발견하거나 뒤에서 몬스터가 나타나는 등 특정 이벤트 발생 시 아바타가 말을 합니다. 아바타는 사용자의 게임 플레이에 반응하며 플레이 내용에 대해 코멘트합니다. 이 기능을 잠금 해제하려면 Steam에서 MateEngine을 후원해 주세요.","Integracja z Minecraftem jest wyłącznie Steamową funkcją. Pozwala ona awatarowi odzywać się w konkretnych momentach, takich jak odkrywanie nowych biomów czy pojawienie sie potwora za tobą. Reaguje on na twoją rozgrywkę i komentuje na temat tego, co robisz. Wesprzyj MateEngine na Steamie aby odblokować tę funkcję.","Minecraft Entegrasyonu yalnızca Steam sürümüne özel bir özelliktir. Bu özellik, avatarın belirli olaylar sırasında konuşmasını sağlar örneğin yeni bir biyom keşfettiğinizde ya da arkanızda bir canavar belirdiğinde. Avatar, oynayışınıza tepki verir ve yaptıklarınız hakkında yorum yapar. Bu özelliğin kilidini açmak için MateEngine’i Steam üzerinden destekleyin.","Інтеграція Minecraft — це функція лише для Steam. Вона дозволяє аватару говорити під час певних подій, наприклад, відкриття нових біомів або появи монстра позаду вас. Вона реагує на ваш геймплей і коментує ваші дії. Підтримайте MateEngine у Steam, щоб отримати доступ до цієї функції."
"BUY_ME",78942879666446336,"Buy Mate Engine","メイトエンジンを購入","Купить Mate Engine","Comprar MateEngine","购买 Mate Engine","購買 MateEngine","Mate Engine Kaufen","Acheter Mate Engine","MateEngine сатып алу","Mate Engine 구매","Kup Mate Engine","Mate Engine'i Satın Al.","Купити MateEngine"
"FOOD_INFO
",78942992686161920,"The Food System lets you press the middle mouse button on the avatar to open the new food circle menu. You can spawn a smoothie and bring it to the avatar’s head to make her drink with sound effects. The feature is currently in Early Access, and more food items, including a small hunger system, will be added in future updates.","フードシステムでは、アバターを中央のマウスボタンでクリックすることで、新しいフードサークルメニューを開くことができます。スムージーを生成してアバターの頭に持っていくと、サウンドエフェクト付きで飲ませることができます。現在この機能はアーリーアクセス中で、今後のアップデートで小さな空腹システムを含む、より多くの食べ物アイテムが追加される予定です。","Система еды позволяет нажать среднюю кнопку мыши на аватаре, чтобы открыть новое круговое меню еды. Ты можешь создать смузи и поднести его к голове аватара — она выпьет его с звуковыми эффектами. Функция сейчас в раннем доступе, а в будущих обновлениях добавят больше еды, включая мини-систему голода.","El Sistema de Comida te permite pulsar el botón central del ratón sobre el avatar para abrir el nuevo menú circular de comida. Puedes generar un batido y acercarlo a la cabeza del avatar para que lo beba con efectos de sonido. La función está actualmente en Acceso Anticipado y se añadirán más alimentos y un pequeño sistema de hambre en futuras actualizaciones.","食物系统允许你按下鼠标滚轮以打开新的食物环形菜单。你可以生成一杯奶昔并将它移到角色头部，让角色伴随音效喝下它。该功能目前处于抢先体验阶段，未来更新中将加入更多食物项目，包括一个小型饥饿系统。","食物系統讓你可以在角色用滑鼠中鍵開啟新的食物選單。你可以生成奶昔並將它拖曳到角色的頭部來讓其飲用。這個功能還在先行體驗中，更多的食物、及一個簡易的飢餓系統，會在未來的更新推出。","Das Food-System ermöglicht es dir, mit der mittleren Maustaste auf den Avatar zu klicken, um das neue Food-Kreismenü zu öffnen. Du kannst einen Smoothie spawnen und ihn zum Kopf des Avatars bringen, damit sie ihn mit Soundeffekten trinkt. Dieses Feature befindet sich derzeit im Early Access, und in zukünftigen Updates werden weitere Nahrungsmittel sowie ein kleines Hungersystem hinzugefügt.","Le Système de Nourriture vous permet d'appuyer sur l'avatar avec le bouton de votre clic-molette pour ouvrir le nouveau menu de nourriture. Vous pouvez faire apparaître un smoothie et l'apporter à la tête de votre avatar pour la faire boire avec des effets sonores. Cette fonction est actuellement en accès anticipé, et d'autres aliments, incluant un petit système de faim, seront ajoutés dans de futures mises à jour.","Тамақтану жүйесі аватардың үстінде ортаңғы тінтуір батырмасын басу арқылы жаңа дөңгелек тамақ мәзірін ашуға мүмкіндік береді. Сіз смузи шығарып, оны аватардың басына жақындатып, арнайы дыбысымен ішкізе аласыз. Бұл мүмкіндік ерте қолжетімділік кезеңінде және болашақта аштық жүйесі мен жаңа тағамдар қосылады.","Food System을 통해 아바타 위에서 마우스 가운데 버튼을 눌러 새로운 음식 원형 메뉴를 열 수 있습니다. 스무디를 소환하여 아바타 머리 쪽으로 가져가면 효과음과 함께 마시게 할 수 있습니다. 이 기능은 현재 앞서 해보기(Early Access) 단계이며, 향후 업데이트를 통해 간단한 배고픔 시스템을 포함한 더 많은 음식 아이템이 추가될 예정입니다.","System jedzenia pozwala ci kliknąć środkowym przyciskiem myszy na awatara, aby otworzyć nowe menu kołowe przekąsek. Możesz przywołać smoothie i przybliżyć je do głowy postaci, aby zaczęła pić z efektami dźwiękowymi. Ta funkcja jest narazie w fazie wczesnego dostępu i więcej potraw, jak i prosty system głodu, zostaną dodane w następnych wersjach.","Yemek Sistemi, fare tekerleği tuşuna basarak yeni yiyecek menüsünü açmanı sağlar. Bir smoothie (içecek) oluşturabilir ve ses efektleri eşliğinde avatarın kafasına götürerek içmesini sağlayabilirsin. Bu özellik şu anda Erken Erişim aşamasındadır ve gelecekteki güncellemelerde küçük bir açlık sistemiyle birlikte daha fazla yiyecek eklenecektir.","Система їжі дозволяє натиснути середню кнопку миші на аватарі, щоб відкрити нове кругове меню їжі. Ви можете створити смузі та піднести його до голови аватара, щоб вона випила, супроводжуючись звуковими ефектами. Функція перебуває на ранньому доступі, і більше видів їжі, включно з маленькою системою голоду, буде додано в майбутніх оновленнях."
"FOOD_TITLE",78943100634963968,"Food System","フードシステム","Система еды","Sistema de Comida","食物系统","食物系統","Food System","Système de Nourriture","Тамақтану жүйесі","Food System","System jedzenia","Yemek Sistemi","Система їжі"
"FOOD_LOCK",78943336845582336,"The Food System is an Early Access feature available only to Steam users. It lets you spawn smoothies and other food items. Hold a smoothie with your mouse and bring it to the avatar’s head so she can drink it. Support the developer to gain access to this feature.","フードシステムはSteam限定のアーリーアクセス機能です。スムージーやその他の食べ物アイテムを生成することができます。スムージーをマウスで持ち、アバターの頭に近づけると飲ませることができます。この機能を利用するには、開発者をサポートしてください。","Система еды — функция в раннем доступе, доступная только пользователям Steam-версии. Она позволяет создавать смузи и другие предметы еды. Удерживайте смузи мышкой и поднесите его к голове аватара, чтобы она могла его выпить. Поддержите разработчика, чтобы получить доступ к этой функции.","El Sistema de Comida es una función de Acceso Anticipado disponible solo para usuarios de Steam. Te permite generar batidos y otros alimentos. Mantén el batido con el ratón y acércalo a la cabeza del avatar para que lo beba. Apoya al desarrollador para acceder a esta función.","食物系统是仅限 Steam 用户使用的抢先体验功能。它允许你生成奶昔和其他食物。用鼠标拿起奶昔并移到角色头部以使角色喝下它。支持开发者即可获得此功能的使用权限。","食物系統是 Steam 用戶專屬的搶先體驗功能。你可以生成奶昔和其他食物。用滑鼠拿著奶昔，靠近角色頭部讓她喝下。支持開發者即可獲得此功能。
","Das Food-System ist ein Early-Access-Feature, das nur Steam-Nutzern zur Verfügung steht. Es ermöglicht dir, Smoothies und andere Nahrungsmittel zu spawnen. Halte einen Smoothie mit der Maus und bring ihn zum Kopf des Avatars, damit sie ihn trinken kann. Unterstütze den Entwickler, um Zugriff auf dieses Feature zu erhalten.","Le Système de Nourriture est une fonction en accès anticipé disponible uniquement aux utilisateurs Steam. Elle vous laisse faire apparaître des smoothies et autres aliments. Tenez un smoothie avec votre souris et apportez le à la tête de votre avatar pour qu'elle puisse le boire. Supportez le développeur pour gagner accès à cette fonction.","Тамақтану жүйесі — Early Access мүмкіндігі және тек Steam қолданушылары үшін қолжетімді. Ол смузи және басқа тағам түрлерін шығару мүмкіндігін береді. Смузиді тінтуірмен ұстап, аватардың басына жақындатыңыз — ол оны ішеді. Бұл мүмкіндікті ашу үшін әзірлеушіні қолдаңыз.","Food System은 Steam 사용자만 사용할 수 있는 기능입니다. 스무디나 다른 음식을 소환할 수 있고, 아바타에게 주는 것으로 마시도록 할 수 있습니다. 이 기능을 이용하려면 개발자를 후원해 주세요.","System jedzenia jest funkcją wczesnego dostępu dostępną dla użytkowników Steam. Pozwala przywołać smoothie i inne produkty żywnościowe. Przytrzymaj smoothie myszką i zbliż do głowy awatara, aby zaczął pić. Wesprzyj dewelopera, aby otrzymać dostęp do tej funkcji.","Yemek Sistemi, yalnızca Steam kullanıcılarına özel bir Erken Erişim özelliğidir. Bu sistem, smoothie’ler ve diğer yiyecekleri oluşturmanı sağlar. Bir smoothie’yi farenle tutup avatarın kafasına götür böylece içebilir. Bu özelliğe erişmek için geliştiriciyi destekleyebilirsin.","Система їжі — це функція раннього доступу, доступна лише користувачам Steam. Вона дозволяє створювати смузі та інші харчові предмети. Утримаєте смузі мишкою та піднесіть його до голови аватара, щоб вона випила. Підтримайте розробника, щоб отримати доступ до цієї функції."
"ADD_TIMER",78943700919558144,"Add Timer","タイマーを追加","Добавить таймер","Añadir temporizador","添加计时器","新增計時器","Timer hinzufügen","Ajouter un Minuteur","Таймер қосу","타이머 추가","Dodaj minutnik","Zamanlayıcı Ekle","Додати таймер"
"LINUX_SPECIFIC",100545249549606912,"Linux-Specific Settings","Linux 固有の設定","Настройки, специфичные для Linux","Configuraciones específicas de Linux","Linux 特定设置","Linux 特定設定","Linux-spezifische Einstellungen","Paramètres spécifiques à Linux","Linux-ке тән параметрлер","Linux 전용 설정","Ustawienia specyficzne dla Linux","Linux'e Özgü Ayarlar","Налаштування, специфічні для Linux"
"LINUX_SPECIFIC_TIP",107786320805486592,"Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","由于Linux配置多种多样，此处提供了Linux特定的设置。你可以更改这些设置以尝试修复某些未正常工作的东西。","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly.","Linux-specific settings are provided here due to the variety of Linux configurations. You may change them to try fixing something that is not working correctly."
"LSS_XMOVE",107786555707482112,"Use XMoveWindow and XResizeWindow instead of _NET_MOVERESIZE_WINDOW","XMoveWindow と XResizeWindow を _NET_MOVERESIZE_WINDOW の代わりに使用する","Использовать XMoveWindow и XResizeWindow вместо _NET_MOVERESIZE_WINDOW","Usar XMoveWindow y XResizeWindow en lugar de _NET_MOVERESIZE_WINDOW","使用 XMoveWindow 和 XResizeWindow 而非 _NET_MOVERESIZE_WINDOW","使用 XMoveWindow 和 XResizeWindow 代替 _NET_MOVERESIZE_WINDOW","XMoveWindow und XResizeWindow statt _NET_MOVERESIZE_WINDOW verwenden","Utiliser XMoveWindow et XResizeWindow au lieu de _NET_MOVERESIZE_WINDOW","XMoveWindow және XResizeWindow-ды _NET_MOVERESIZE_WINDOW орнына пайдалану","XMoveWindow와 XResizeWindow를 _NET_MOVERESIZE_WINDOW 대신 사용","Używać XMoveWindow i XResizeWindow zamiast _NET_MOVERESIZE_WINDOW","XMoveWindow ve XResizeWindow kullanın, _NET_MOVERESIZE_WINDOW yerine","Використовувати XMoveWindow та XResizeWindow замість _NET_MOVERESIZE_WINDOW"
"LSS_XMOVE_TIP",107787011036930048,"Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","XMoveWindow与XResizeWindow会绕过窗口管理器直接更新窗口，可能导致窗口装饰元素不同步。_NET_MOVERESIZE_WINDOW协议通过向窗口管理器发送请求，使现代Linux桌面能够将MateEngine窗口作为带有完整装饰的单元进行移动和尺寸调整，同时遵循用户设定的合成器动画效果与平铺规则。

仅当你完全无法拖拽移动角色或切换窗口大小时，才建议启用此选项。","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all.","Both XMoveWindow and XResizeWindow bypass WM and updates the window directly, which can leave window decorations out of sync. _NET_MOVERESIZE_WINDOW protocol sends a message to ask WM to move and resize MateEngine window as a complete, decorated unit on every modern Linux desktop while respecting the user’s compositor animations and tiling rules.

Only enable this option in case that you cannot drag and move your avatar or toggle window size at all."
"LSS_PMO",107787399546920960,"Enable Periodic Memory Optimization","定期メモリ最適化を有効にする","Включить периодическую оптимизацию памяти","Habilitar optimización periódica de memoria","启用定期内存优化","啟用定期記憶體最佳化","Periodische Speicheroptimierung aktivieren","Activer l'optimisation périodique de la mémoire","Дүркіндік жадты оңтайландыруды қосу","주기적 메모리 최적화 활성화","Włącz okresową optymalizację pamięci","Periyodik bellek optimizasyonunu etkinleştir","Увімкнути періодичну оптимізацію пам'яті"
